"","x","y","day","burst","states"
"1",99.4071578979492,45.6877059936523,1,1,4
"2",99.4072184244792,45.6877632141113,1,2,4
"3",99.4070800255085,45.6878283270474,1,3,1
"4",99.4070808147562,45.6878637116531,1,4,1
"5",99.4070887247721,45.6878430684408,1,5,1
"6",99.4070889703159,45.6878288532125,1,6,1
"7",99.4070810778388,45.6878356933594,1,7,1
"8",99.4070724487305,45.6878416697184,1,8,1
"9",99.407096862793,45.6878421388823,1,9,1
"10",99.4070937058021,45.6878154360015,1,10,1
"11",99.4071510314941,45.6878430684407,1,11,1
"12",99.4071373775087,45.6878237231024,1,12,1
"13",99.4071202771417,45.687835956442,1,13,1
"14",99.4019953409831,45.673942565918,1,14,3
"15",99.3737308668054,45.6457867829696,1,15,3
"16",99.3277895697232,45.6470485555714,1,16,2
"17",99.3074381510417,45.634987894694,1,17,2
"18",99.288577524821,45.635187403361,1,18,2
"19",99.286299869932,45.5912048076761,1,19,2
"20",99.2504160563151,45.5920658111572,1,20,4
"21",99.2498858133952,45.5859355926514,1,21,3
"22",99.2486735376819,45.5701330776872,1,22,1
"23",99.2461187428441,45.5610258168188,1,23,1
"24",99.2461505466037,45.5609775119358,1,24,1
"25",99.2472913018588,45.5641793875859,1,25,4
"26",99.2644579657193,45.5481283253637,1,26,2
"27",99.3921564737956,45.5238840738932,1,27,3
"28",99.5409737948714,45.500033674569,1,28,2
"29",99.7267269266063,45.482965535131,1,29,2
"30",99.8344774881999,45.4598244984945,1,30,2
"31",100.004719034831,45.4117543538412,1,31,3
"32",100.158471206139,45.3255653381348,1,32,3
"33",100.291517323461,45.2508888244629,1,33,2
"34",100.484672546387,45.1505135854085,1,34,3
"35",100.646250231513,45.0591988399111,1,35,3
"36",100.74191415721,45.0725646183409,1,36,3
"37",100.758247629801,45.0781988779704,1,37,3
"38",100.80595371641,45.0452980830752,1,38,2
"39",100.827085297683,45.0728416442871,1,39,3
"40",100.817728766079,45.055258389177,1,40,1
"41",100.810489654541,45.0611371358236,1,41,1
"42",100.810486102926,45.061150517957,1,42,1
"43",100.807606401114,45.0616945727118,1,43,1
"44",100.807616398252,45.0617003605283,1,44,1
"45",100.80594329834,45.0624059041341,1,45,1
"46",100.804588317871,45.0626502201475,1,46,1
"47",100.80459950765,45.0626071929931,1,47,1
"48",100.804581740807,45.0625570889177,1,48,1
"49",100.804590606689,45.06261622111,1,49,1
"50",100.804597473145,45.0625982920329,1,50,1
"51",100.804568060513,45.0626583757072,1,51,1
"52",100.8045753479,45.0626532236735,1,52,1
"53",100.804588826497,45.0626402537028,1,53,1
"54",100.801582336426,45.0606880187988,2,1,4
"55",100.799537404378,45.0644101460775,2,2,4
"56",100.799511210124,45.0644079844157,2,3,1
"57",100.799521891276,45.0644335428874,2,4,1
"58",100.800813082991,45.0606338237894,2,5,1
"59",100.800816345215,45.0605648040772,2,6,1
"60",100.800832288019,45.0605973868535,2,7,1
"61",100.800834129597,45.0605881789635,2,8,1
"62",100.788654985099,45.0588530178728,2,9,1
"63",100.789261916588,45.0598105068864,2,10,1
"64",100.789975396518,45.0595221683896,2,11,1
"65",100.789968293289,45.0595145389952,2,12,1
"66",100.839199066162,45.0491306304932,2,13,2
"67",100.849568800493,45.0447138006037,2,14,1
"68",100.849583592908,45.0447140397697,2,15,1
"69",100.849559529622,45.0447152455648,2,16,1
"70",100.849540973532,45.0447208799165,2,17,1
"71",100.84961013794,45.0447105407715,2,18,1
"72",100.84964243571,45.0446800231934,2,19,1
"73",100.84962884311,45.0447454781368,2,20,1
"74",100.90495223999,45.0293172200521,2,21,2
"75",100.993232727051,44.9725058237712,2,22,3
"76",101.064518895643,44.9290953011348,2,23,4
"77",101.065898895264,44.9306550343831,2,24,4
"78",101.06607208252,44.930716196696,2,25,4
"79",101.066039512897,44.9307273338581,2,26,4
"80",101.064530944824,44.9305090586344,2,27,1
"81",101.065185038248,44.9297510782878,2,28,1
"82",101.064964566912,44.931758744376,2,29,2
"83",101.065157923205,44.93207260658,2,30,1
"84",101.065251159668,44.9320551554362,2,31,1
"85",101.101176670619,44.9267594473703,2,32,2
"86",101.11201292893,44.9984979300663,2,33,3
"87",101.228493789147,45.0673918888487,2,34,3
"88",101.263607945936,45.1088514656856,2,35,1
"89",101.263596852621,45.1087777455648,2,36,1
"90",101.263587162412,45.1087674108045,2,37,1
"91",101.263532002767,45.1088357289632,2,38,1
"92",101.26357014974,45.1088123321533,2,39,1
"93",101.263591766358,45.1087917327881,2,40,1
"94",101.26358689933,45.1087708308779,2,41,1
"95",101.263578542074,45.1088108062744,2,42,1
"96",101.2635887146,45.1088469187418,2,43,1
"97",101.263587188721,45.108837890625,2,44,1
"98",101.26355565389,45.1088413238525,2,45,1
"99",101.263562774658,45.1088136037191,2,46,1
"100",101.263568220468,45.1088338391534,2,47,1
"101",101.263577270508,45.1088247934977,2,48,1
"102",101.263588740908,45.1088235789332,2,49,1
"103",101.263554636638,45.1088298797608,2,50,1
"104",101.26360727946,45.108806737264,2,51,1
"105",101.263530336577,45.1088062154836,2,52,1
"106",101.26832224528,45.0963394165039,2,53,1
"107",101.211013793945,45.1149139404297,3,1,4
"108",101.227057647705,45.118957010905,3,2,1
"109",101.226598358154,45.1176704406738,3,3,1
"110",101.226575724284,45.1176840464274,3,4,1
"111",101.226585651267,45.1176920923693,3,5,1
"112",101.226613108317,45.1176602681478,3,6,1
"113",101.226638004698,45.1176752550849,3,7,1
"114",101.216417773016,45.1086207422717,3,8,1
"115",101.216436714961,45.1086192953175,3,9,1
"116",101.177265298778,45.1018309757627,3,10,3
"117",101.090240732829,45.095121383667,3,11,3
"118",100.934164428711,45.0709181467692,3,12,3
"119",100.8235399882,45.055777613322,3,13,1
"120",100.823760732015,45.0553690592448,3,14,3
"121",100.790624684301,45.0600357055664,3,15,3
"122",100.758298676589,45.1024918391786,3,16,1
"123",100.758303833008,45.1025285085042,3,17,1
"124",100.75842364081,45.1024906553071,3,18,1
"125",100.758317618535,45.1022769007189,3,19,1
"126",100.758330281575,45.1022829691569,3,20,1
"127",100.758400752626,45.1022099462049,3,21,1
"128",100.757494608561,45.0613962809245,3,22,3
"129",100.758258688039,45.0510176296892,3,23,1
"130",100.758148456442,45.0506502348801,3,24,1
"131",100.757630157471,45.0510041554769,3,25,1
"132",100.757637023926,45.0510159196525,3,26,1
"133",100.757697269834,45.0510331515608,3,27,1
"134",100.75769990066,45.0509168690649,3,28,1
"135",100.756306966146,45.0530053456624,3,29,1
"136",100.75626449585,45.0529468536377,3,30,1
"137",100.756347919333,45.0530817755337,3,31,1
"138",100.756353970232,45.0530659905795,3,32,1
